,airline,IATA_code,plane,seat_count
0,Aegean Airlines,A3, Airbus A319 (319),138
1,Aegean Airlines,A3, Airbus A320 (320),174
2,Aegean Airlines,A3, Airbus A321 (321),196
3,Aegean Airlines,A3, ATR 42-600 (ATR),48
4,Aegean Airlines,A3, Bombardier Q400 (DH4),78
5,Aer Lingus,EI, Airbus A330-200 (332) Layout 1,271
6,Aer Lingus,EI, Airbus A330-200 (332) Layout 2,266
7,Aer Lingus,EI, Airbus A330-300 (333),317
8,Aer Lingus,EI, Airbus A320 (320),174
9,Aer Lingus,EI, Airbus A321 (321),212
10,Aer Lingus,EI, Airbus A321LR (321),184
11,Aer Lingus,EI, Boeing 757-200 (752),177
12,Aeroflot,SU, Airbus A330-200 (332),241
13,Aeroflot,SU, Airbus A330-300 (333) Layout 1,296
14,Aeroflot,SU, Airbus A330-300 (333) Layout 2,301
15,Aeroflot,SU, Boeing 777-300ER (773),402
16,Aeroflot,SU, Airbus A320 (320) Layout 1,140
17,Aeroflot,SU, Airbus A320 (320) Layout 2,158
18,Aeroflot,SU, Airbus A321 (321) Layout 1,170
19,Aeroflot,SU, Airbus A321 (321) Layout 2,183
20,Aeroflot,SU, Airbus A321 (321) Layout 3,183
21,Aeroflot,SU, Boeing 737-800 (738),158
22,Aeroflot,SU, Sukhoi Superjet 100-95B (SU9),87
23,Aerolineas Argentinas,AR, Airbus A330-200 (332),272
24,Aerolineas Argentinas,AR, Boeing 737-700 (737),128
25,Aerolineas Argentinas,AR, Boeing 737-800 (738),170
26,Aeromexico,AM, Boeing 787-8 (788),243
27,Aeromexico,AM, Boeing 787-9 (789),274
28,Aeromexico,AM, Boeing 737 MAX 8 (7M8),166
29,Aeromexico,AM, Boeing 737-700 (737),124
30,Aeromexico,AM, Boeing 737-800 (738) Layout 1,160
31,Aeromexico,AM, Boeing 737-800 (738) Layout 2,186
32,Aeromexico,AM, Embraer 170 (E70),76
33,Aeromexico,AM, Embraer 190 (E90) Layout 1,99
34,Aeromexico,AM, Embraer 190 (E90) Layout 2,98
35,Air Arabia,G9, Airbus A320 (320),174
36,Air Arabia,G9, Airbus A321 (321),216
37,Air Astana,KC, Boeing 767-300ER (76W),223
38,Air Astana,KC, Airbus A320-200 (320),148
39,Air Astana,KC, Airbus A320neo (320),148
40,Air Astana,KC, Airbus A321-200 (321),180
41,Air Astana,KC, Airbus A321neo (A321),175
42,Air Astana,KC, Boeing 757-200 (752),166
43,Air Astana,KC, Embraer E-190 (E90) Layout 1,97
44,Air Astana,KC, Embraer E-190-E2 (E90) Layout 2,108
45,Air Austral,UU, Boeing 777-300ER (77W),438
46,Air Austral,UU, Boeing 787-8 (788),262
47,Air Austral,UU, Boeing 737-800 (738),162
48,Air Austral,UU, ATR 72-500 (AT7),64
49,Air Baltic,BT, Airbus A220-300 (CS3),145
50,Air Baltic,BT, Boeing 737-300 (733),144
51,Air Baltic,BT, Boeing 737-500 (735),120
52,Air Baltic,BT, Bombardier Q400 (DH4),76
53,Air Belgium,KF, Airbus A340-300 (343) Layout 1,257
54,Air Belgium,KF, Airbus A340-300 (343) Layout 2,265
55,Air Canada,AC, Airbus A330-300 (333) Layout 1,292
56,Air Canada,AC, Airbus A330-300 (333) Layout 2,285
57,Air Canada,AC, Boeing 767-300ER (763),211
58,Air Canada,AC, Boeing 777-200LR (77L) Three Class,300
59,Air Canada,AC, Boeing 777-300ER (77W) Three Class Layout 1,400
60,Air Canada,AC, Boeing 777-300ER (77W) Three Class Layout 2,450
61,Air Canada,AC, Boeing 787-8 (788),255
62,Air Canada,AC, Boeing 787-9 (789),298
63,Air Canada,AC, rouge - Boeing 767-300ER (763),279
64,Air Canada,AC, Airbus A220-300 (CS3),137
65,Air Canada,AC, Airbus A319-100 (319),120
66,Air Canada,AC, Airbus A320-200 (320),146
67,Air Canada,AC, Airbus A321-200 (321) Layout 1,190
68,Air Canada,AC, Boeing 737 MAX 8 (7M8),169
69,Air Canada,AC, Embraer E-175,76
70,Air Canada,AC, Embraer E-190,97
71,Air Canada,AC, rouge - Airbus A319-100 (319),136
72,Air Canada,AC, rouge - Airbus A320-200 (320),162
73,Air Canada,AC, rouge - Airbus A321-200 (321) Layout 1,200
74,Air Canada,AC, rouge - Airbus A321-200 (321) Layout 2,220
75,Air Canada,AC, Bombardier CRJ-100/200,50
76,Air Canada,AC, Bombardier CRJ-705,75
77,Air Canada,AC, Bombardier CRJ-900,76
78,Air Canada,AC,Beechcraft 1900D,18
79,Air Canada,AC, Bombardier Q400,74
80,Air Canada,AC, de Havilland Dash 8 (100),37
81,Air Canada,AC, de Havilland Dash 8 (300),50
82,Air Caraibes,TX, Airbus A330-200 (332) Layout 1,303
83,Air Caraibes,TX, Airbus A330-200 (332) Layout 2,318
84,Air Caraibes,TX, Airbus A330-300 (333) Layout 1,354
85,Air Caraibes,TX, Airbus A330-300 (333) Layout 2,378
86,Air Caraibes,TX, Airbus A350-1000 (351),429
87,Air Caraibes,TX, Airbus A350-900 (359),389
88,Air Caraibes,TX,ATR 72-500 (ATR),70
89,Air Caraibes,TX,ATR 72-600 (ATR),74
90,Air China,CA, Airbus A330-200 (332) Layout 1,237
91,Air China,CA, Airbus A330-200 (332) Layout 2,284
92,Air China,CA, Airbus A330-300 (333),301
93,Air China,CA, Airbus A350-900 (359),312
94,Air China,CA, Boeing 747-400 (744),344
95,Air China,CA, Boeing 747-8 (74H),365
96,Air China,CA, Boeing 777-200 (772),310
97,Air China,CA, Boeing 777-300ER (77W),311
98,Air China,CA, Boeing 787-9 (789),293
99,Air China,CA, Airbus A319 (319),128
100,Air China,CA, Airbus A320 (320),158
101,Air China,CA, Airbus A321 (321) Layout 1,185
102,Air China,CA, Airbus A321 (321) Layout 2,177
103,Air China,CA, Boeing 737-700 (737),128
104,Air China,CA, Boeing 737-800 (738) Layout 1,167
105,Air China,CA, Boeing 737-800 (738) Layout 2,159
106,Air Corsica,XK, Airbus A320-200 (320),180
107,Air Corsica,XK, ATR 72-500 (AT7),70
108,Air Dolomiti,EN, Embraer E-195 (E95),112
109,Air Europa,UX, Airbus A330-200 (332),299
110,Air Europa,UX, Boeing 787-8 (788),298
111,Air Europa,UX, Boeing 787-9 (789) ,335
112,Air Europa,UX, Boeing 737-800 (738),180
113,Air Europa,UX, Embraer 195 (E95),122
114,Air France,AF, Airbus A330-200 (332) Layout 1,208
115,Air France,AF, Airbus A330-200 (332) Layout 2,224
116,Air France,AF, Airbus A340-300 (343) ,275
117,Air France,AF, Airbus A350-900 (359),324
118,Air France,AF, Airbus A380-800 (380),516
119,Air France,AF, Boeing 777-200ER (772) Three Class Layout 1,309
120,Air France,AF, Boeing 777-200ER (772) Three Class Layout 2,280
121,Air France,AF, Boeing 777-200ER (772) Three Class Layout 3,312
122,Air France,AF, Boeing 777-200ER (772) Three Class Layout 4,312
123,Air France,AF, Boeing 777-300ER (77W) Caribbean,468
124,Air France,AF, Boeing 777-300ER (77W) Four Class Layout 1,296
125,Air France,AF, Boeing 777-300ER (77W) Four Class Layout 2,322
126,Air France,AF, Boeing 777-300ER (77W) Three Class,381
127,Air France,AF, Boeing 787-9 (789) ,276
128,Air France,AF, Airbus A318 (318),118
129,Air France,AF, Airbus A319 (319) Layout 1,129
130,Air France,AF, Airbus A319 (319) Layout 2,142
131,Air France,AF, Airbus A320 (320) Caribbean,165
132,Air France,AF, Airbus A320 (320) Layout 1,152
133,Air France,AF, Airbus A320 (320) Layout 2,158
134,Air France,AF, Airbus A320 (320) Layout 3,178
135,Air France,AF, Airbus A321 (321) Layout 1,184
136,Air France,AF, Airbus A321 (321) Layout 2,212
137,Air France,AF, Embraer E-170,76
138,Air France,AF, Embraer E-190,100
139,Air France,AF,RJ-85 Avroliner (AR8),95
140,Air France,AF, Bombardier CRJ-1000,100
141,Air France,AF, Bombardier CRJ-700,72
142,Air France,AF, Embraer ERJ-145,50
143,Air France,AF, ATR 42-500 (AT5),48
144,Air France,AF, ATR 72-500 (AT7),66
145,Air France,AF, ATR 72-600 (ATR),72
146,Air India,AI, Boeing 747-400 (744),423
147,Air India,AI, Boeing 777-200LR (77L),238
148,Air India,AI, Boeing 777-300ER (77W),342
149,Air India,AI, Boeing 787-8 (788),256
150,Air India,AI, Airbus A319 (319) Layout 1,122
151,Air India,AI, Airbus A319 (319) Layout 2,144
152,Air India,AI, Airbus A320 (320) Layout 1,168
153,Air India,AI, Airbus A320 (320) Layout 2,140
154,Air India,AI, Airbus A321 (321),182
155,Air India Express,IX, Boeing 737-800 (738),189
156,Air Macau,NX, Airbus A319-100 (319) Layout 1,122
157,Air Macau,NX, Airbus A319-100 (319) Layout 2,112
158,Air Macau,NX, Airbus A320-200 (320) Layout 1,152
159,Air Macau,NX, Airbus A320-200 (320) Layout 2,158
160,Air Macau,NX, Airbus A320-200 (320) Layout 3,150
161,Air Macau,NX, Airbus A320neo (320),158
162,Air Macau,NX, Airbus A321-200 (321) Layout 1,178
163,Air Macau,NX, Airbus A321-200 (321) Layout 2,179
164,Air Macau,NX, Airbus A321-200 (321) Layout 3,182
165,Air Macau,NX, Airbus A321neo (321),198
166,Air Malta,KM, Airbus A320 (320) Layout 1,150
167,Air Malta,KM, Airbus A320 (320) Layout 2,144
168,Air Mauritius,MK, Airbus A330-200 (332),273
169,Air Mauritius,MK, Airbus A330neo (339),288
170,Air Mauritius,MK, Airbus A340-300 (343) Layout 1,302
171,Air Mauritius,MK, Airbus A340-300 (343) Layout 2,300
172,Air Mauritius,MK, Airbus A350-900 (359),326
173,Air Mauritius,MK, Airbus A319 (319),124
174,Air Mauritius,MK, ATR 72-500 (AT7),72
175,Air Namibia,SW, Airbus A330-200 (332),244
176,Air Namibia,SW, Airbus A319-100 (319),112
177,Air Namibia,SW, Embraer ERJ-135 (ER3),37
178,Air New Zealand,NZ, Boeing 777-200ER (772),312
179,Air New Zealand,NZ, Boeing 777-300 (773),342
180,Air New Zealand,NZ, Boeing 787-9 (789) Layout 1,302
181,Air New Zealand,NZ, Boeing 787-9 (789) Layout 2,275
182,Air New Zealand,NZ, Airbus A320 (320) Domestic,171
183,Air New Zealand,NZ, Airbus A320 (320) International,168
184,Air New Zealand,NZ, Airbus A320neo (320),165
185,Air New Zealand,NZ, Airbus A321neo (321),214
186,Air New Zealand,NZ, ATR 72-500,68
187,Air New Zealand,NZ, Bombardier Q300,50
188,Air North,4N, Boeing 737-400 (734),156
189,Air North,4N, Boeing 737-500 (735),122
190,Air North,4N,ATR 42-300,22
191,Air North,4N,Hawker Siddeley HS 748 Layout 1,12
192,Air North,4N,Hawker Siddeley HS 748 Layout 2,20
193,Air North,4N,Hawker Siddeley HS 748 Layout 3,32
194,Air North,4N,Hawker Siddeley HS 748 Layout 4,40
195,Air Seoul,RS, Airbus A321 (321) Layout 1,195
196,Air Seoul,RS, Airbus A321 (321) Layout 2,220
197,Air Serbia,JU, Airbus A330-200 (332),254
198,Air Serbia,JU, Airbus A319 (319),140
199,Air Serbia,JU, Airbus A320 (320),170
200,Air Serbia,JU,Boeing 737-300 (733),144
201,Air Serbia,JU, ATR 72-200 (ATR),66
202,Air Serbia,JU, ATR 72-500 (AT7),70
203,Air Tahiti Nui,TN, Boeing 787-9 (789),294
204,Air Transat,TS, Airbus A310-300 (313),244
205,Air Transat,TS, Airbus A330-200 (332) Layout 1,345
206,Air Transat,TS, Airbus A330-200 (332) Layout 2,332
207,Air Transat,TS, Airbus A330-300 (333) Layout 1,375
208,Air Transat,TS, Airbus A330-300 (333) Layout 2,346
209,Air Transat,TS, Airbus A321-200 (32B) Domestic,186
210,Air Transat,TS, Airbus A321-200 (32B) International,190
211,Air Transat,TS, Airbus A321neo LR (321),199
212,Air Transat,TS, Boeing 737-700 (73G) Domestic,148
213,Air Transat,TS, Boeing 737-800 (738) Domestic,184
214,Air Transat,TS, Boeing 737-800 (738) International,189
215,Air Vanuatu,NF, Boeing 737-800 (73H),170
216,Air Vanuatu,NF, ATR 72-600 (AT7),70
217,AirAsia,AK, Airbus A320-200 (320),180
218,AirAsia,AK, Airbus A320neo (320),186
219,AirAsia X,D7, Airbus A330-300 (333),377
220,Aircalin,SB, Airbus A330-200 (332),266
221,Aircalin,SB, Airbus A330-900neo (339),291
222,Aircalin,SB, Airbus A320-200 (320),146
223,Aircalin,SB,Twin Otter DHC6,16
224,Alaska Airlines,AS, Airbus A319 (319) Layout 1,119
225,Alaska Airlines,AS, Airbus A319 (319) Layout 2,123
226,Alaska Airlines,AS, Airbus A320 Layout 1,149
227,Alaska Airlines,AS, Airbus A320 Layout 2,146
228,Alaska Airlines,AS, Airbus A320 Layout 3,150
229,Alaska Airlines,AS, Airbus A321 (321),190
230,Alaska Airlines,AS, Boeing 737-700 (737),124
231,Alaska Airlines,AS, Boeing 737-800 (738),159
232,Alaska Airlines,AS, Boeing 737-900 (739),178
233,Alaska Airlines,AS, Embraer 175 (E75),76
234,Alaska Airlines,AS, Bombardier Q400,76
235,Alitalia,AZ, Airbus A330-200 (332),256
236,Alitalia,AZ, Boeing 777-200ER (772),293
237,Alitalia,AZ, Airbus A319 (319) One Class,138
238,Alitalia,AZ, Airbus A320 (320) Layout 1,165
239,Alitalia,AZ, Airbus A320 (320) Layout 2,148
240,Alitalia,AZ, Airbus A321 (321) Layout 1,200
241,Alitalia,AZ, Airbus A321 (321) Layout 2,186
242,Alitalia,AZ, Embraer E-175,88
243,Alitalia,AZ, Embraer E-190,100
244,Allegiant,G4, Airbus A319 (319),156
245,Allegiant,G4, Airbus A320 (320),177
246,American Airlines,AA, Airbus A330-200 (332),247
247,American Airlines,AA, Airbus A330-300 (333),291
248,American Airlines,AA, Boeing 767-300 (763),209
249,American Airlines,AA, Boeing 777-200 (777),273
250,American Airlines,AA, Boeing 777-300ER (77W),304
251,American Airlines,AA, Boeing 787-8 (788),234
252,American Airlines,AA, Boeing 787-9 (789),285
253,American Airlines,AA, Airbus A319 (319),128
254,American Airlines,AA, Airbus A320 (320),150
255,American Airlines,AA, Airbus A321 (321) Layout 1,181
256,American Airlines,AA, Airbus A321 (321) Layout 2,187
257,American Airlines,AA, Airbus A321 (32B) Layout 3 ,102
258,American Airlines,AA, Airbus A321neo ACF,196
259,American Airlines,AA, Boeing 737 MAX 8 (7M8),172
260,American Airlines,AA, Boeing 737-800 (738) Layout 1,160
261,American Airlines,AA, Boeing 737-800 (738) Layout 2,172
262,American Airlines,AA, Boeing 757-200 (752) Domestic,188
263,American Airlines,AA, Boeing 757-200 (752) International,176
264,American Airlines,AA, Embraer ERJ-175 (E75) Layout 1,76
265,American Airlines,AA, Embraer ERJ-175 (E75) Layout 2,80
266,American Airlines,AA, Embraer ERJ-190 (E90),99
267,American Airlines,AA, Bombardier CRJ-200 (CR2),50
268,American Airlines,AA, Bombardier CRJ-700 (CR7) Layout 1,63
269,American Airlines,AA, Bombardier CRJ-700 (CR7) Layout 2,70
270,American Airlines,AA, Bombardier CRJ-700 (CR7) Layout 3,65
271,American Airlines,AA, Bombardier CRJ-700 (CR7) Layout 4,65
272,American Airlines,AA, Bombardier CRJ-900 (CR9) Layout 1,76
273,American Airlines,AA, Bombardier CRJ-900 (CR9) Layout 2,79
274,American Airlines,AA, Bombardier CRJ-900 (CR9) Layout 3,76
275,American Airlines,AA, Embraer ERJ-140 (ERD),44
276,American Airlines,AA, Embraer ERJ-145 (ER4),50
277,ANA,NH, Airbus A380 (388),480
278,ANA,NH, Boeing 767-300 (763) Domestic,270
279,ANA,NH, Boeing 767-300ER (763) Layout 1,202
280,ANA,NH, Boeing 767-300ER (763) Layout 2,214
281,ANA,NH, Boeing 777-200 (772) Domestic,402
282,ANA,NH, Boeing 777-300 (773) Domestic,514
283,ANA,NH, Boeing 777-300ER (77W) Layout 1,250
284,ANA,NH, Boeing 777-300ER (77W) Layout 2,212
285,ANA,NH, Boeing 777-300ER (77W) Layout 3,264
286,ANA,NH, Boeing 777-300ER (77W) Layout 4,212
287,ANA,NH, Boeing 787-10 (781),294
288,ANA,NH, Boeing 787-8 (788) Layout 1,169
289,ANA,NH, Boeing 787-8 (788) Layout 2,240
290,ANA,NH, Boeing 787-8 (788) Layout 3 - Domestic,335
291,ANA,NH, Boeing 787-8 (788) Layout 4,184
292,ANA,NH, Boeing 787-9 (789) Layout 1,215
293,ANA,NH, Boeing 787-9 (789) Layout 2,246
294,ANA,NH, Boeing 787-9 (789) Layout 3 - Domestic,395
295,ANA,NH, Airbus A320 (320) Layout 1,166
296,ANA,NH, Airbus A320 (320) Layout 2,146
297,ANA,NH, Airbus A321neo (321) Domestic,194
298,ANA,NH, Boeing 737-500 (735) ANA Wings,126
299,ANA,NH, Boeing 737-700 (737),120
300,ANA,NH, Boeing 737-800 (738) Layout 1,167
301,ANA,NH, Boeing 737-800 (738) Layout 2,166
302,ANA,NH, Bombardier Q400 (DH4) ANA Wings,74
303,Asiana,OZ, Airbus A330-300 (333) Layout 1,290
304,Asiana,OZ, Airbus A330-300 (333) Layout 2,275
305,Asiana,OZ, Airbus A350-900 (359),311
306,Asiana,OZ, Airbus A380-800 (388) ,495
307,Asiana,OZ, Boeing 747-400 (747),359
308,Asiana,OZ, Boeing 767-300 (763),250
309,Asiana,OZ, Boeing 777-200ER (772) Layout 1,295
310,Asiana,OZ, Boeing 777-200ER (772) Layout 2,300
311,Asiana,OZ, Boeing 777-200ER (772) Layout 3,262
312,Asiana,OZ, Airbus A320-200 (320),143
313,Asiana,OZ, Airbus A321-100 (321),200
314,Asiana,OZ, Airbus A321-200 (321) Layout 1,171
315,Asiana,OZ, Airbus A321-200 (321) Layout 2,177
316,Asiana,OZ, Airbus A321-200 (321) Layout 3,195
317,Austrian,OS, Boeing 767-300ER (763),211
318,Austrian,OS, Boeing 777-200 (772),308
319,Austrian,OS, Airbus A319 (319),130
320,Austrian,OS, Airbus A320 (320),160
321,Austrian,OS, Airbus A321 (321),200
322,Austrian,OS, Embraer E-195 (E95),112
323,Austrian,OS, Bombardier Q400 (DH4),76
324,Avianca,AV, Airbus A330-200 (332) Layout 1,252
325,Avianca,AV, Airbus A330-200 (332) Layout 2,242
326,Avianca,AV, Boeing 787-8 (788),250
327,Avianca,AV, Airbus A318 (318),100
328,Avianca,AV, Airbus A319 (319),120
329,Avianca,AV, Airbus A320 (320),150
330,Avianca,AV, Airbus A321 (321),194
331,Avianca,AV, Embraer 190 (E90),96
332,Azerbaijan Hava Yollary,J2, Airbus A340-500 (345),237
333,Azerbaijan Hava Yollary,J2, Boeing 767-300ER (76W),186
334,Azerbaijan Hava Yollary,J2, Boeing 787-8 Dreamliner (788),212
335,Azerbaijan Hava Yollary,J2, Airbus A319 (319),116
336,Azerbaijan Hava Yollary,J2, Airbus A320 (320),146
337,Azerbaijan Hava Yollary,J2, Boeing 757-200 (752),180
338,Azerbaijan Hava Yollary,J2, Embraer E-190 (E90),106
339,Azores Airlines,S4, Airbus A330-200 (332),283
340,Azores Airlines,S4, Airbus A320-200 (320) Layout 1,161
341,Azores Airlines,S4, Airbus A320-200 (320) Layout 2,159
342,Azores Airlines,S4, Airbus A320-200 (320) Layout 3,160
343,Azores Airlines,S4, Airbus A321neo (321),186
344,Azores Airlines,S4, SATA Air Açores - Bombardier Q200 (DH2) Layout 1,37
345,Azores Airlines,S4, SATA Air Açores - Bombardier Q200 (DH2) Layout 2,29
346,Azores Airlines,S4, SATA Air Açores - Bombardier Q200 (DH2) Layout 3,21
347,Azores Airlines,S4, SATA Air Açores - Bombardier Q400 (DH4),80
348,Azul,AD, Airbus A330-200 (332),271
349,Azul,AD, Airbus A320neo (320),174
350,Azul,AD, Embraer E-190 (E90),106
351,Azul,AD, Embraer E-195 (E95),118
352,Azul,AD, ATR 72-600 (AT7),70
353,Bamboo Airways,QH, Airbus A319-100 (319),128
354,Bamboo Airways,QH, Airbus A320-200 (320),170
355,Bamboo Airways,QH, Airbus A321neo (321),196
356,Bangkok Airways,PG, Airbus A319 (319) Layout 1,120
357,Bangkok Airways,PG, Airbus A319 (319) Layout 2,144
358,Bangkok Airways,PG, Airbus A320 (320),162
359,Bangkok Airways,PG, ATR 72-500 (ATR),70
360,British Airways,BA, Airbus A350-1000 (351),331
361,British Airways,BA, Airbus A380-800 (388),469
362,British Airways,BA, Boeing 747-400 (744) Layout 1,345
363,British Airways,BA, Boeing 747-400 (744) Layout 2,275
364,British Airways,BA, Boeing 777-200 (772) Four Class,224
365,British Airways,BA, Boeing 777-200 (772) Gatwick Three Class,332
366,British Airways,BA, Boeing 777-200 (772) Three Class Layout 1,275
367,British Airways,BA, Boeing 777-200 (772) Three Class Layout 2,283
368,British Airways,BA, Boeing 777-200 (772) Three Class Layout 3,336
369,British Airways,BA, Boeing 777-300 (773),299
370,British Airways,BA, Boeing 787-10 (781),256
371,British Airways,BA, Boeing 787-8 (788),214
372,British Airways,BA, Boeing 787-9 (789),216
373,British Airways,BA, Airbus A318 (318),32
374,British Airways,BA, Airbus A319 (319) Domestic Layout 1,143
375,British Airways,BA, Airbus A319 (319) Domestic Layout 2,132
376,British Airways,BA, Airbus A319 (319) Domestic Layout 3,144
377,British Airways,BA, Airbus A319 (319) European,123
378,British Airways,BA, Airbus A320 (320) Domestic Layout 1,168
379,British Airways,BA, Airbus A320 (320) Domestic Layout 2 ,171
380,British Airways,BA, Airbus A320 (320) European,144
381,British Airways,BA, Airbus A321 (321) Domestic,205
382,British Airways,BA, Airbus A321 (321) European,177
383,British Airways,BA, Airbus A321 (321) International,154
384,British Airways,BA, Airbus A321neo (321) Layout 1,208
385,British Airways,BA, Airbus A321neo (321) Layout 2,210
386,British Airways,BA, Embraer E-170 European,76
387,British Airways,BA, Embraer E-170 UK Domestic,76
388,British Airways,BA, Embraer E-190 European,98
389,British Airways,BA, Embraer E-190 UK Domestic,98
390,Brussels Airlines,SN, Airbus A330-200 (332),272
391,Brussels Airlines,SN, Airbus A330-300 (333),288
392,Brussels Airlines,SN, Airbus A319 (319),141
393,Brussels Airlines,SN, Airbus A320 (320) ,174
394,Caribbean Airlines,BW, Boeing 737-800 (738),150
395,Caribbean Airlines,BW, ATR 72-600 (AT7),68
396,Cathay Dragon,KA, Airbus A330-300 (333) Layout 1,280
397,Cathay Dragon,KA, Airbus A330-300 (333) Layout 2,307
398,Cathay Dragon,KA, Airbus A330-300 (333) Layout 3,317
399,Cathay Dragon,KA, Airbus A320 (320),164
400,Cathay Dragon,KA, Airbus A321 (321),172
401,Cathay Pacific,CX, Airbus A330-300 (33E) Two Class Layout 1,262
402,Cathay Pacific,CX, Airbus A330-300 (33K) Three Class,251
403,Cathay Pacific,CX, Airbus A330-300 (33P) Two Class Layout 2,317
404,Cathay Pacific,CX, Airbus A350-1000 (351),334
405,Cathay Pacific,CX, Airbus A350-900 (35G),280
406,Cathay Pacific,CX, Boeing 777-200 (772) New Regional,335
407,Cathay Pacific,CX, Boeing 777-300 (73Z) Layout 2,398
408,Cathay Pacific,CX, Boeing 777-300ER (73Z) Layout 6,398
409,Cathay Pacific,CX, Boeing 777-300ER (77A) Layout 4,294
410,Cathay Pacific,CX, Boeing 777-300ER (77G) Layout 3,340
411,Cathay Pacific,CX, Boeing 777-300ER (77H) Layout 1,275
412,Cathay Pacific,CX, Boeing 777-300ER (77K) Layout 5,368
413,Cayman Airways,KX, Boeing 737-300 (733),122
414,Cayman Airways,KX,DHC-6 Twin Otter (DHT),17
415,Cayman Airways,KX, Saab 340B (SFB),34
416,CEBU Pacific Air,5J, Airbus A330-300 (333),436
417,CEBU Pacific Air,5J, Airbus A319 (319) ,156
418,CEBU Pacific Air,5J, Airbus A320 (320),180
419,CEBU Pacific Air,5J, Airbus A321neo (321),239
420,CEBU Pacific Air,5J, ATR 72-500,72
421,China Airlines,CI, Airbus A330-300 (333) Layout 1,313
422,China Airlines,CI, Airbus A330-300 (333) Layout 2,307
423,China Airlines,CI, Airbus A350-900 (359),306
424,China Airlines,CI, Boeing 747-400 (744) V2,375
425,China Airlines,CI, Boeing 777-300ER (77W),358
426,China Airlines,CI, Boeing 737-800 (738),158
