,airline,IATA_code,plane,seat_count
427,China Airlines,CI, Embraer E-190,104
428,China Eastern,MU, Airbus A330-200 (332) Layout 1,264
429,China Eastern,MU, Airbus A330-200 (33E) Layout 2,234
430,China Eastern,MU, Airbus A330-200 (33H) Layout 3,232
431,China Eastern,MU, Airbus A330-300 (333),300
432,China Eastern,MU, Boeing 777-300ER (77W) ,316
433,China Eastern,MU, Airbus A319 (319),122
434,China Eastern,MU, Airbus A320 (320),158
435,China Eastern,MU, Airbus A321-200 (321),177
436,China Eastern,MU, Boeing 737-700 (737),134
437,China Eastern,MU, Boeing 737-800 (738) Layout 1,170
438,China Eastern,MU, Boeing 737-800 (738) Layout 2,164
439,China Eastern,MU, Boeing 737-800 (738) Layout 3,146
440,China Southern,CZ, Airbus A330-200 (332) Layout 1,218
441,China Southern,CZ, Airbus A330-200 (332) Layout 2,258
442,China Southern,CZ, Airbus A330-300 (333) Layout 1,284
443,China Southern,CZ, Airbus A330-300 (333) Layout 2,275
444,China Southern,CZ, Airbus A380-800 (388) ,506
445,China Southern,CZ, Boeing 777-200 (772) Layout 1,284
446,China Southern,CZ, Boeing 777-200 (772) Layout 2,374
447,China Southern,CZ, Boeing 777-300ER (77W),309
448,China Southern,CZ, Boeing 787-8 (788),228
449,China Southern,CZ, Boeing 787-9 (789),297
450,China Southern,CZ, Airbus A319 (319),122
451,China Southern,CZ, Airbus A320 (320),152
452,China Southern,CZ, Airbus A321 (321),179
453,China Southern,CZ, Boeing 737-300 (733) Layout 1,138
454,China Southern,CZ, Boeing 737-300 (733) Layout 2,148
455,China Southern,CZ, Boeing 737-300 (733) Layout 3,140
456,China Southern,CZ, Boeing 737-300 (733) Layout 4,144
457,China Southern,CZ, Boeing 737-700 (737) Layout 1,120
458,China Southern,CZ, Boeing 737-700 (737) Layout 2,128
459,China Southern,CZ, Boeing 737-700 (737) Layout 3,143
460,China Southern,CZ, Boeing 737-800 (738) Layout 1,164
461,China Southern,CZ, Boeing 737-800 (738) Layout 2,161
462,China Southern,CZ, Boeing 737-800 (738) Layout 3,159
463,China Southern,CZ, Embraer ERJ-190,98
464,Condor,DE, Boeing 767-300ER (763) Layout 1,255
465,Condor,DE, Boeing 767-300ER (763) Layout 2,245
466,Condor,DE, Boeing 767-300ER (763) Layout 3,253
467,Condor,DE, Airbus A320-200 (320),164
468,Condor,DE, Airbus A321-200 (321),208
469,Condor,DE, Boeing 757-300 (753),262
470,Copa Airlines,CM, Boeing 737-700 (73G),124
471,Copa Airlines,CM, Boeing 737-800 (738) Layout 1,160
472,Copa Airlines,CM, Boeing 737-800 (738) Layout 2,154
473,Copa Airlines,CM, Embraer E-190 (E90) Layout 1,94
474,Copa Airlines,CM, Embraer E-190 (E90) Layout 2,100
475,Croatia Airlines,OU, Airbus A319 (319),144
476,Croatia Airlines,OU, Airbus A320 (320),174
477,Croatia Airlines,OU, Bombardier CRJ-1000 (CRK),100
478,Croatia Airlines,OU, Bombardier Q400 (DH4),76
479,Czech Airlines,OK, Airbus A330-300 (333),276
480,Czech Airlines,OK, Airbus A319 (319),134
481,Czech Airlines,OK, ATR 42-500 (AT5),48
482,Czech Airlines,OK, ATR 72-500 (AT7),64
483,Delta,DL, Airbus A330-200 (332),234
484,Delta,DL, Airbus A330-300 (333),293
485,Delta,DL, Airbus A330-900neo (339),281
486,Delta,DL, Airbus A350-900 (359),306
487,Delta,DL, Boeing 767-300ER (76H/76Z) Layout 3,226
488,Delta,DL, Boeing 767-300ER (76L) Layout 2,211
489,Delta,DL, Boeing 767-300ER (76T/76W) Layout 1,208
490,Delta,DL, Boeing 767-300ER (76Z) Layout 4,226
491,Delta,DL, Boeing 767-400ER (764) Layout 2,238
492,Delta,DL, Boeing 767-400ER (76D) Layout 1,246
493,Delta,DL, Boeing 777-200ER/LR (7CB) Layout 1,288
494,Delta,DL, Boeing 777-200ER/LR (7HD) Layout 2,296
495,Delta,DL, Airbus A220-100 (CS1),109
496,Delta,DL, Airbus A319 (319),132
497,Delta,DL, Airbus A320 (32K) Layout 1,160
498,Delta,DL, Airbus A320 (32M) Layout 2,157
499,Delta,DL, Airbus A321 (321) Layout 1,192
500,Delta,DL, Airbus A321 (321) Layout 2,192
501,Delta,DL, Boeing 717-200 (717),110
502,Delta,DL, Boeing 737-700 (73W),124
503,Delta,DL, Boeing 737-800 (73H),160
504,Delta,DL, Boeing 737-900ER (739) ,180
505,Delta,DL, Boeing 757-200 (757),180
506,Delta,DL, Boeing 757-200 (75D) ,199
507,Delta,DL, Boeing 757-200 (75G),169
508,Delta,DL, Boeing 757-200 (75P) ,193
509,Delta,DL, Boeing 757-200 (75S) ,168
510,Delta,DL, Boeing 757-300 (75Y),234
511,Delta,DL, Embraer E-170 (E70),69
512,Delta,DL, Embraer E-175 (E75) Layout 1,76
513,Delta,DL, Embraer E-175 (E75) Layout 2 - SkyWest,70
514,Delta,DL, McDonnell Douglas MD-88 (M88),149
515,Delta,DL, McDonnell Douglas MD-90 (M90),158
516,Delta,DL, Bombardier CRJ-100/200,50
517,Delta,DL, Bombardier CRJ-700 (CR7),69
518,Delta,DL, Bombardier CRJ-900 (CR9),76
519,Delta,DL, Bombardier CRJ-900 Atmosphere Cabin (CR9),70
520,easyJet,U2, Airbus A319 (319),156
521,easyJet,U2, Airbus A320 (320) Layout 1,180
522,easyJet,U2, Airbus A320 (320) Layout 2,186
523,easyJet,U2, Airbus A321neo,235
524,Edelweiss Air,WK, Airbus A330-300 (333),315
525,Edelweiss Air,WK, Airbus A340-300 (343),314
526,Edelweiss Air,WK, Airbus A320-200 (320),168
527,Egyptair,MS, Airbus A330-200 (332),268
528,Egyptair,MS, Airbus A330-300 (333),301
529,Egyptair,MS, Boeing 777-300ER (77W),346
530,Egyptair,MS, Boeing 787-9 (789),309
531,Egyptair,MS, Airbus A320 (320),139
532,Egyptair,MS, Airbus A321 (321),161
533,Egyptair,MS, Boeing 737-800 (738) Layout 1,146
534,Egyptair,MS, Boeing 737-800 (738) Layout 2,154
535,Egyptair,MS, Embraer E170 (E70),76
536,EL AL,LY, Boeing 777-200ER (772),279
537,EL AL,LY, Boeing 787-8 (788),238
538,EL AL,LY, Boeing 787-9 (789),282
539,EL AL,LY, Boeing 737-800 (738),166
540,EL AL,LY, Boeing 737-900 (739),175
541,Emirates,EK, Airbus A380-800 (388) Three Class Layout 1,489
542,Emirates,EK, Airbus A380-800 (388) Three Class Layout 2,517
543,Emirates,EK, Airbus A380-800 (388) Two Class,615
544,Emirates,EK, Boeing 777-200LR (772) Three Class,266
545,Emirates,EK, Boeing 777-300ER (77W) Three Class Layout 1,354
546,Emirates,EK, Boeing 777-300ER (77W) Three Class Layout 2,360
547,Emirates,EK, Boeing 777-300ER (77W) Two Class,427
548,Ethiopian Airlines,ET, Airbus A350-900 (350),343
549,Ethiopian Airlines,ET, Boeing 767-300ER (763),223
550,Ethiopian Airlines,ET, Boeing 777-200LR (77L),315
551,Ethiopian Airlines,ET, Boeing 777-300ER (77W),393
552,Ethiopian Airlines,ET, Boeing 787-8 (788),270
553,Ethiopian Airlines,ET, Boeing 737-700 (737) ,118
554,Ethiopian Airlines,ET, Boeing 737-800 (738),154
555,Ethiopian Airlines,ET, Bombardier Q400 (DH4) Layout 1,71
556,Ethiopian Airlines,ET, Bombardier Q400 (DH4) Layout 2,78
557,Etihad,EY, Airbus A330-200,262
558,Etihad,EY, Airbus A330-300 (333),231
559,Etihad,EY, Airbus A380-800 (388) ,494
560,Etihad,EY, Boeing 777-300ER (77W) Three Class,330
561,Etihad,EY, Boeing 777-300ER (77W) Two Class Layout 1,402
562,Etihad,EY, Boeing 777-300ER (77W) Two Class Layout 2,370
563,Etihad,EY, Boeing 787-10 (781),299
564,Etihad,EY, Boeing 787-9 (789) Layout 1,231
565,Etihad,EY, Boeing 787-9 (789) Layout 2,299
566,Etihad,EY, Airbus A320 (320),136
567,Etihad,EY, Airbus A321 (321),174
568,Eurowings,EW, Airbus A330-200 (332),310
569,Eurowings,EW, Airbus A330-300 (333),283
570,Eurowings,EW, Airbus A319 (319),138
571,Eurowings,EW, Airbus A320 (320),174
572,EVA Air,BR, Airbus A330-200 (332),252
573,EVA Air,BR, Airbus A330-300 (333),309
574,EVA Air,BR, Boeing 777-300ER (77A/77W) Layout 2,333
575,EVA Air,BR, Boeing 777-300ER (77B) Layout 4,353
576,EVA Air,BR, Boeing 777-300ER (77M) Layout 3,323
577,EVA Air,BR, Boeing 777-300ER (77N/77W) Layout 1,313
578,EVA Air,BR, Boeing 787-10 (781),342
579,EVA Air,BR, Boeing 787-9 (789),304
580,EVA Air,BR, Airbus A321 (321),184
581,Fiji Airways,FJ, Airbus A330-200 (332),273
582,Fiji Airways,FJ, Airbus A330-300 (333),313
583,Fiji Airways,FJ, Airbus A350-900 (359),334
584,Fiji Airways,FJ, Boeing 737-700 (73H),118
585,Fiji Airways,FJ, Boeing 737-800 (738) Layout 1,160
586,Fiji Airways,FJ, Boeing 737-800 (738) Layout 2,170
587,Fiji Airways,FJ, Aerospatiale/Alenia 42-500 (AT5),44
588,Fiji Airways,FJ, Aerospatiale/Alenia 72-600 (AT7),68
589,Fiji Airways,FJ, De Havilland DHC-6 (DHT),12
590,Finnair,AY, Airbus A330-300 (333) Layout 1,263
591,Finnair,AY, Airbus A330-300 (333) Layout 2,289
592,Finnair,AY, Airbus A350-900 Layout 1 (350),297
593,Finnair,AY, Airbus A350-900 Layout 2 (350),336
594,Finnair,AY, Airbus A319 (319),131
595,Finnair,AY, Airbus A320 (320),158
596,Finnair,AY, Airbus A321 (321) Layout 1,201
597,Finnair,AY, Airbus A321 (321) Layout 2,188
598,Finnair,AY, Embraer E-170,76
599,Finnair,AY, Embraer E-190,100
600,flydubai,FZ, Boeing 737-800 (738) Layout 1,189
601,flydubai,FZ, Boeing 737-800 (738) Layout 2,174
602,FlyOne,5F,Airbus A319-100 (319),132
603,FlyOne,5F,Airbus A320-200 (320),192
604,French bee,BF, Airbus A330-300 (333),378
605,French bee,BF, Airbus A350-900 (359),411
606,Frontier,F9, Airbus A319 (319) Layout 1,150
607,Frontier,F9, Airbus A319 (319) Layout 2,138
608,Frontier,F9, Airbus A320 (320) Layout 1,180
609,Frontier,F9, Airbus A320 (320) Layout 2,168
610,Frontier,F9, Airbus A321 (321),230
611,Garuda Indonesia,GA, Airbus A330-200 (332),222
612,Garuda Indonesia,GA, Airbus A330-300 (333) Layout 1,251
613,Garuda Indonesia,GA, Airbus A330-300 (333) Layout 2,287
614,Garuda Indonesia,GA, Airbus A330-300 (333) Layout 3,360
615,Garuda Indonesia,GA, Airbus A330-900neo (339),301
616,Garuda Indonesia,GA, Boeing 777-300ER (77W) Layout 1,318
617,Garuda Indonesia,GA, Boeing 777-300ER (77W) Layout 2,393
618,Garuda Indonesia,GA, Boeing 737 MAX 8 (7M8),170
619,Garuda Indonesia,GA, Boeing 737-800 (738) Layout 1,162
620,Garuda Indonesia,GA, Boeing 737-800 (738) Layout 2,174
621,Garuda Indonesia,GA, Bombardier CRJ-1000 ,96
622,Garuda Indonesia,GA, ATR72-600 (ATR) ,70
623,Gol,G3, Boeing 737 MAX 8 (7M8) Domestic,186
624,Gol,G3, Boeing 737 MAX 8 (7M8) International,176
625,Gol,G3, Boeing 737-700 (737) Domestic,144
626,Gol,G3, Boeing 737-700 (737) International,128
627,Gol,G3, Boeing 737-800 (738) Domestic,186
628,Gol,G3, Boeing 737-800 (738) International,176
629,Gulf Air,GF, Boeing 787-9 (789),282
630,Gulf Air,GF, Airbus A320 (320) Layout 1,136
631,Gulf Air,GF, Airbus A320ER (320) Layout 2,110
632,Gulf Air,GF, Airbus A321ER (321),169
633,Hainan Airlines,HU, Airbus A330-200 (332),222
634,Hainan Airlines,HU, Airbus A330-300 (333),292
635,Hainan Airlines,HU, Boeing 767-300ER (767),233
636,Hainan Airlines,HU, Boeing 787-8 (788),213
637,Hainan Airlines,HU, Boeing 787-9 (789),288
638,Hainan Airlines,HU, Boeing 737 MAX 8 (7M8),176
639,Hainan Airlines,HU, Boeing 737-700 (737),148
640,Hainan Airlines,HU, Boeing 737-800 (738),164
641,Hawaiian Airlines,HA, Airbus A330-200 (332),278
642,Hawaiian Airlines,HA, Airbus A321neo (321),189
643,Hawaiian Airlines,HA, Boeing 717-200 (717),128
644,Hawaiian Airlines,HA, Aerospatiale ATR-42,48
645,HK Express,UO, Airbus A320 (320),180
646,HK Express,UO, Airbus A320neo (320),188
647,HK Express,UO, Airbus A321 (321),230
648,Hong Kong Airlines,HX, Airbus A330-200 (332) Layout 1,283
649,Hong Kong Airlines,HX, Airbus A330-200 (33T) Layout 3,281
650,Hong Kong Airlines,HX, Airbus A330-200 (33V) Layout 2,264
651,Hong Kong Airlines,HX, Airbus A330-300 (333) Layout 2,292
652,Hong Kong Airlines,HX, Airbus A330-300 (33S) Layout 1,285
653,Hong Kong Airlines,HX, Airbus A350-900 Layout 1 (359),334
654,Hong Kong Airlines,HX, Airbus A350-900 Layout 2 (35A),334
655,Hong Kong Airlines,HX, Airbus A320-200 (32H) Layout 2,152
656,Hong Kong Airlines,HX, Airbus A320-200 (32S) Layout 1,174
657,Iberia,IB, Airbus A330-200 (332),288
658,Iberia,IB, Airbus A330-300 (333) Layout 1,278
659,Iberia,IB, Airbus A330-300 (333) Layout 2,292
660,Iberia,IB, Airbus A340-600 (346) Layout 1,346
661,Iberia,IB, Airbus A340-600 (346) Layout 2,355
662,Iberia,IB, Airbus A350-900 (359),348
663,Iberia,IB, LEVEL - Airbus A330-200 (332),314
664,Iberia,IB, Airbus A319 (319) Layout 1,118
665,Iberia,IB, Airbus A319 (319) Layout 2,208
666,Iberia,IB, Airbus A320 (320),162
667,Iberia,IB, Airbus A320 (320) Express,180
668,Iberia,IB, Airbus A321 (321) Layout 1,174
669,Iberia,IB, Airbus A321 (321) Layout 2,208
670,Iberia,IB, LEVEL - Airbus A321-200 (321),212
671,Iberia,IB, Bombardier CRJ-1000,100
672,Iberia,IB, Bombardier CRJ-200,50
673,Iberia,IB, Bombardier CRJ-900 ,90
674,Iberia,IB, ATR-72,74
675,Icelandair,FI, Boeing 767-300ER (76W),259
676,Icelandair,FI, Boeing 737 MAX 8 (7M8),160
677,Icelandair,FI, Boeing 757-200 (752) Layout 1,183
678,Icelandair,FI, Boeing 757-200 (752) Layout 2,171
679,Icelandair,FI, Boeing 757-300 (753),216
680,IndiGo Airlines,6E, Airbus A320ceo (320) Layout 1,180
681,IndiGo Airlines,6E, Airbus A320neo (320) Layout 2,186
682,IndiGo Airlines,6E, Airbus A321neo (321),222
683,IndiGo Airlines,6E, ATR 72-600 (AT7),74
684,InterJet,4O, Airbus A320 (320),150
685,InterJet,4O, Airbus A321neo (321),192
686,InterJet,4O, Sukhoi Superjet 100-95 (SU9),93
687,Japan Airlines,JL, Airbus A350-900 (359),369
688,Japan Airlines,JL, Boeing 767-300 (763) Domestic,261
689,Japan Airlines,JL, Boeing 767-300 (763) Intl,232
690,Japan Airlines,JL, Boeing 767-300ER (76W) Layout 1,237
691,Japan Airlines,JL, Boeing 767-300ER (76W) Layout 2,227
692,Japan Airlines,JL, Boeing 767-300ER (76W) Layout 3,261
693,Japan Airlines,JL, Boeing 767-300ER (76W) Layout 4,199
694,Japan Airlines,JL, Boeing 767-300ER (76W) Layout 5,252
695,Japan Airlines,JL, Boeing 777-200 (772),375
696,Japan Airlines,JL, Boeing 777-200ER (772) Layout 1,245
697,Japan Airlines,JL, Boeing 777-200ER (772) Layout 2,312
698,Japan Airlines,JL, Boeing 777-200ER (772) Layout 3,302
699,Japan Airlines,JL, Boeing 777-200ER (772) Layout 4,236
700,Japan Airlines,JL, Boeing 777-300 (773),500
701,Japan Airlines,JL, Boeing 777-300ER (773),244
702,Japan Airlines,JL, Boeing 787-8 (788) Layout 1,186
703,Japan Airlines,JL, Boeing 787-8 (788) Layout 2,161
704,Japan Airlines,JL, Boeing 787-8 (788) Layout 3,206
705,Japan Airlines,JL, Boeing 787-9 (789) Layout 1,195
706,Japan Airlines,JL, Boeing 787-9 (789) Layout 2,203
707,Japan Airlines,JL, Boeing 787-9 (789) Layout 3,239
708,Japan Airlines,JL, Boeing 737-400 (734) One Class,150
709,Japan Airlines,JL, Boeing 737-400 (734) Two Class,145
710,Japan Airlines,JL, Boeing 737-800 (738) Domestic,165
711,Japan Airlines,JL, Boeing 737-800 (738) Intl,144
712,Japan Airlines,JL, Embraer E-170,76
713,Japan Airlines,JL, Embraer E-190 (E90) ,95
714,Japan Airlines,JL, Bombardier CRJ-200,50
715,Japan Airlines,JL, Bombardier Q100,39
716,Japan Airlines,JL, Bombardier Q300,50
717,Japan Airlines,JL, Bombardier Q400,74
718,Japan Airlines,JL, Saab 340B,36
719,Jeju Air,7C, Boeing 737-800 (738) Layout 1,186
720,Jeju Air,7C, Boeing 737-800 (738) Layout 2,189
721,Jeju Air,7C, Boeing 737-800 (738) Layout 3,174
722,Jet2,LS, Airbus A330-200,327
723,Jet2,LS, Airbus A321 (321) Layout 1,218
724,Jet2,LS, Airbus A321 (321) Layout 2,220
725,Jet2,LS, Boeing 737-300 (733),148
726,Jet2,LS, Boeing 737-800 (738),189
727,Jet2,LS, Boeing 757-200 (752),235
728,JetBlue,B6, Airbus A320 (320) Layout 1,150
729,JetBlue,B6, Airbus A320 (32M) Layout 2,162
730,JetBlue,B6, Airbus A321 (321) Non-Mint,200
731,JetBlue,B6, Airbus A321 (32S) Mint,159
732,JetBlue,B6, Airbus A321neo (3N1),200
733,JetBlue,B6, Embraer E-190 (E90),100
734,Jetstar,JQ, Boeing 787-8 (788),335
735,Jetstar,JQ, Airbus A320 (320) Layout 1,180
736,Jetstar,JQ, Airbus A320 (320) Layout 2 ,186
737,Jetstar,JQ, Airbus A321 (321) Layout 1,220
738,Jetstar,JQ, Airbus A321 (321) Layout 2,230
739,Jin Air,LJ, Boeing 777-200ER (772),393
740,Jin Air,LJ,Boeing 737-800 (738),189
741,Kenya Airways,KQ, Boeing 787-8 (788),234
742,Kenya Airways,KQ, Boeing 737-800 (738) ,145
743,Kenya Airways,KQ, Embraer E-190 ,96
744,KLM,KL, Airbus A330-200 (332) Layout 1,243
745,KLM,KL, Airbus A330-200 (332) Layout 2,268
746,KLM,KL, Airbus A330-300 (333),292
747,KLM,KL, Boeing 747-400 (744) Combi New Business,268
748,KLM,KL, Boeing 747-400 (744) New Business,408
749,KLM,KL, Boeing 777-200ER (772),316
750,KLM,KL, Boeing 777-300ER (77W),408
751,KLM,KL, Boeing 787-10 (781),344
752,KLM,KL, Boeing 787-9 (789),294
753,KLM,KL, Boeing 737-700 (737),132
754,KLM,KL, Boeing 737-800 (738),176
755,KLM,KL, Boeing 737-900 (739),178
756,KLM,KL, Embraer E-175,88
757,KLM,KL, Embraer E-190,100
758,Korean Air,KE, Airbus A330-200 (332),218
759,Korean Air,KE, Airbus A330-300 (333) Layout 1,276
760,Korean Air,KE, Airbus A330-300 (333) Layout 2,272
761,Korean Air,KE, Airbus A380-800 (388),407
762,Korean Air,KE, Boeing 747-400 (744),404
763,Korean Air,KE, Boeing 747-8 (74H),368
764,Korean Air,KE, Boeing 777-200ER (772) Layout 1,248
765,Korean Air,KE, Boeing 777-200ER (772) Layout 2,261
766,Korean Air,KE, Boeing 777-300 (773),338
767,Korean Air,KE, Boeing 777-300ER (77W) Layout 1,277
768,Korean Air,KE, Boeing 777-300ER (77W) Layout 2,291
769,Korean Air,KE, Boeing 787-9 (789),271
770,Korean Air,KE, Airbus A220-300,130
771,Korean Air,KE, Boeing 737 MAX 8 (7M8),140
772,Korean Air,KE, Boeing 737-800 (738) Layout 1,147
773,Korean Air,KE, Boeing 737-800 (738) Layout 2,138
774,Korean Air,KE, Boeing 737-900 (739),188
775,Korean Air,KE, Boeing 737-900ER (739),159
776,Kulula,MN,Boeing 737-800 (738),189
777,La Compagnie,B0, Airbus A321neo (321),76
778,LATAM,LA, Airbus A350-900 (359),339
779,LATAM,LA, Boeing 767-300ER (76W) Layout 1,233
780,LATAM,LA, Boeing 767-300ER (76W) Layout 2,221
781,LATAM,LA, Boeing 777-300ER (77W),410
782,LATAM,LA, Boeing 787-8 (788),247
783,LATAM,LA, Boeing 787-9 (789) Layout 1,304
784,LATAM,LA, Boeing 787-9 (789) Layout 2,303
785,LATAM,LA, Airbus A319 (319) Layout 1,144
786,LATAM,LA, Airbus A319 (319) Layout 2,138
787,LATAM,LA, Airbus A320-200 (320) Layout 1,174
788,LATAM,LA, Airbus A320-200 (320) Layout 2,168
789,LATAM,LA, Airbus A320-200 (320) Layout 3,168
790,LATAM,LA, Airbus A320-200 (320) Layout 4,168
791,LATAM,LA, Airbus A321-200 (321),198
792,Lion Airlines,JT, Airbus A330-300 (333),440
793,Lion Airlines,JT, Boeing 737-300 (733),150
794,Lion Airlines,JT, Boeing 737-800 (738),189
795,Lion Airlines,JT, Boeing 737-900 (739) Layout 1,214
796,Lion Airlines,JT, Boeing 737-900 (739) Layout 2,206
797,LOT Polish Airlines,LO, Boeing 787-8 (788),252
798,LOT Polish Airlines,LO, Boeing 787-9 (789),294
799,LOT Polish Airlines,LO, Boeing 737 MAX 8 (7M8),176
800,LOT Polish Airlines,LO, Boeing 737-400 (734),144
801,LOT Polish Airlines,LO, Boeing 737-800 (738),184
802,LOT Polish Airlines,LO, Embraer ERJ-170 (E70),70
803,LOT Polish Airlines,LO, Embraer ERJ-175 (E75),82
804,LOT Polish Airlines,LO, Embraer ERJ-195 (E95),112
805,Lufthansa,LH, Airbus A330-300 (333) Layout 1,236
806,Lufthansa,LH, Airbus A330-300 (333) Layout 2,216
807,Lufthansa,LH, Airbus A330-300 (333) Layout 3,255
808,Lufthansa,LH, Airbus A340-300 (343) Layout 1,279
809,Lufthansa,LH, Airbus A340-300 (343) Layout 2,251
810,Lufthansa,LH, Airbus A340-300 (343) Layout 3,298
811,Lufthansa,LH, Airbus A340-600 (346) Layout 1,297
812,Lufthansa,LH, Airbus A340-600 (346) Layout 2,281
813,Lufthansa,LH, Airbus A350-900 (359) Layout 1,293
814,Lufthansa,LH, Airbus A350-900 (359) Layout 2,319
815,Lufthansa,LH, Airbus A380-800 (388),509
816,Lufthansa,LH, Boeing 747-400 (744) Layout 1,393
817,Lufthansa,LH, Boeing 747-400 (744) Layout 2,371
818,Lufthansa,LH, Boeing 747-8 (748),364
819,Lufthansa,LH, Airbus A319 (319),126
820,Lufthansa,LH, Airbus A320 (320) Layout 1,154
821,Lufthansa,LH, Airbus A320 (320) Layout 2,166
822,Lufthansa,LH, Airbus A321 (321),192
823,Lufthansa,LH, Airbus A321neo (321),199
824,Lufthansa,LH, Embraer E-190,100
825,Lufthansa,LH, Embraer E-195,112
826,Lufthansa,LH, Bombardier CRJ-900,79
827,Luxair,LG, Boeing 737-700 (73G),141
828,Luxair,LG, Boeing 737-800 (738),186
829,Luxair,LG, Bombardier Q400 (DH4),76
830,Malaysia Airlines,MH, Airbus A330-200 (332),287
831,Malaysia Airlines,MH, Airbus A330-300 (333) ,290
832,Malaysia Airlines,MH, Airbus A350-900 (359),286
833,Malaysia Airlines,MH, Airbus A380-800 (388),494
834,Malaysia Airlines,MH, Boeing 737-800 (738) Layout 1,166
835,Malaysia Airlines,MH, Boeing 737-800 (738) Layout 2,160
836,Mango,JE, Boeing 737-800 (738),186
837,Middle East Airlines,ME, Airbus A330-200 (332),244
838,Middle East Airlines,ME, Airbus A320-200 (320),126
839,Nok Air,DD, Boeing 737-800 (738),189
840,Nok Air,DD, ATR 72-200 (ATR),66
841,Nok Air,DD,Bombardier Q400 (DH4),86
842,Nordwind Airlines,N4, Airbus A330-200 (332),279
843,Nordwind Airlines,N4, Boeing 777-200ER (772),393
844,Nordwind Airlines,N4, Airbus A321 (321),220
845,Nordwind Airlines,N4, Boeing 737-800 (738),189
846,Nordwind Airlines,N4, Boeing 767-300ER (763),290
847,Norwegian Air International,D8, Boeing 737 MAX 8 (7M8),189
848,Norwegian Air International,D8, Boeing 737-800 (738),186
849,Norwegian Air Shuttle,DY, Boeing 737 MAX 8 (7M8),189
850,Norwegian Air Shuttle,DY, Boeing 737-800 (738),186
851,Norwegian Air Sweden,LE, Boeing 787-9 (789),344
852,Norwegian Air Sweden,LE, Boeing 737 MAX 8 (7M8),189
853,Norwegian Air UK,DI, Boeing 787-9,338
854,Oman Air,WY, Airbus A330-200 (332),216
855,Oman Air,WY, Airbus A330-300 (333),230
856,Oman Air,WY, Boeing 787-8 (788) Layout 1,267
857,Oman Air,WY, Boeing 787-8 (788) Layout 2,234
858,Oman Air,WY, Boeing 787-9 (789) Layout 1,288
859,Oman Air,WY, Boeing 787-9 (789) Layout 2,264
860,Oman Air,WY, Boeing 737-700 (73G),114
861,Oman Air,WY, Boeing 737-800 (738),156
862,Oman Air,WY, Boeing 737-900ER (739),183
